date,price,total_volume,market_cap,coin_name
2021-01-27,6.93612479501509,13259944.12607942,161821128.15446663,flow
2021-01-28,6.93612479501509,13259944.12607942,161821128.15446663,flow
2021-01-29,7.153618419151332,6315208.61828203,166808753.28447136,flow
2021-01-30,6.398993964937578,3044608.2912925812,148769402.22470903,flow
2021-01-31,9.030796720066757,6735979.189734877,208306744.04158643,flow
2021-02-01,9.772269193397891,14277052.229730578,227287820.59187925,flow
2021-02-02,9.790270095239077,10146514.023916598,228290614.99311286,flow
2021-02-03,9.359083610827653,74748951.28395648,218085517.20182166,flow
2021-02-04,8.833174488815708,19430289.516214117,205821816.4302438,flow
2021-02-05,8.681318886689777,19671564.387303215,202428251.46136874,flow
2021-02-06,10.742533722801777,45879552.3494377,246877323.79550532,flow
2021-02-07,10.440390528517089,21360162.081295073,245763871.16702643,flow
2021-02-08,10.062969946465362,11061470.174038319,234270346.70078084,flow
2021-02-09,10.097994714493625,15834943.855223749,234684065.10236242,flow
2021-02-10,11.355973831700217,23436130.65180601,264233719.03605577,flow
2021-02-11,11.39188204138629,18944202.32577863,265127366.7523277,flow
2021-02-12,12.580736748869414,14573356.9010343,293143772.1468796,flow
2021-02-13,14.622234812309783,42000951.27541586,338777772.4516182,flow
2021-02-14,14.759596564504086,19009371.9605385,344300983.88499355,flow
2021-02-15,17.688056048221693,62318038.167866156,410855342.5924533,flow
2021-02-16,19.0297054280359,73029461.72151577,442165484.04240435,flow
2021-02-17,19.19092779505469,35291941.46625601,448812672.6482579,flow
2021-02-18,17.211971183109693,27801219.92826077,400344379.9519424,flow
2021-02-19,19.14688002618189,29894768.96972112,446757992.8692392,flow
2021-02-20,18.494287676531254,12236147.582465367,425916756.21663874,flow
2021-02-21,18.85245384344437,22575776.757529512,435758419.25649875,flow
2021-02-22,21.970030316310876,89081697.84094256,515030982.03428566,flow
2021-02-23,22.695696795793594,65579521.723794825,528832476.43018,flow
2021-02-24,21.447706539177315,79827626.65293421,497100734.8779576,flow
2021-02-25,20.977862026769248,64026602.00786213,486013561.68696153,flow
2021-02-26,20.26671664116678,44240669.38690433,474667407.1071804,flow
2021-02-27,19.938707992830444,47461754.34881189,464591874.81835806,flow
2021-02-28,20.744387364391766,20712577.09091288,483934753.69582397,flow
2021-03-01,20.772330791557703,66238121.48811994,485418039.07318527,flow
2021-03-02,29.254330129946027,126537556.1592243,682171651.0340519,flow
2021-03-03,29.940007588341636,125951034.72681622,686207805.1141434,flow
2021-03-04,32.540261084074174,128558900.65626828,759414378.7101501,flow
2021-03-05,39.24395159440994,247048818.0380461,913482737.5321429,flow
2021-03-06,34.7252876832155,131351631.6061656,1060196867.5440693,flow
2021-03-07,34.73913456516081,112389420.94202502,1057344706.7113135,flow
2021-03-08,34.25224203239844,63525116.1327059,1042332587.413949,flow
2021-03-09,32.17099051561487,66188796.22985086,985420383.9104981,flow
2021-03-10,35.611299714794335,138028561.42596897,1077555834.385686,flow
2021-03-11,34.433374924983774,70257477.87516375,1070529614.9062153,flow
2021-03-12,32.39391583353902,68758291.22843556,984896615.5525506,flow
